#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
574165 1382690 300 1.1e-39 0.0 0.0 0.0 1.1e-237 5.4e-141 2.2e-82 3.9e-52 1.0e+02 
574815 1382690 300 6.2e-41 0.0 0.0 0.0 1.5e-244 8.8e-145 3.0e-84 5.5e-53 1.0e+02 
575470 1382690 300 3.2e-42 0.0 0.0 0.0 1.3e-251 1.2e-148 3.8e-86 7.6e-54 1.0e+02 
576130 1382690 300 1.5e-43 0.0 0.0 0.0 8.3e-259 1.3e-152 4.4e-88 1.0e-54 1.0e+02 
576795 1382690 300 7.0e-45 0.0 0.0 0.0 3.6e-266 1.2e-156 4.7e-90 1.3e-55 1.0e+02 
577465 1382690 300 2.9e-46 0.0 0.0 0.0 1.1e-273 9.2e-161 4.6e-92 1.7e-56 1.0e+02 
578140 1382690 300 1.2e-47 0.0 0.0 0.0 0.0 5.7e-165 4.2e-94 2.1e-57 1.0e+02 
578820 1382690 300 4.2e-49 0.0 0.0 0.0 0.0 2.9e-169 3.4e-96 2.5e-58 1.0e+02 
579505 1382690 300 1.5e-50 0.0 0.0 0.0 0.0 1.2e-173 2.6e-98 2.9e-59 1.0e+02 
580195 1382690 300 4.6e-52 0.0 0.0 0.0 0.0 4.1e-178 1.8e-100 3.3e-60 1.0e+02 
580890 1382690 300 1.4e-53 0.0 0.0 0.0 0.0 1.1e-182 1.1e-102 3.6e-61 1.0e+02 
581590 1382690 300 3.8e-55 0.0 0.0 0.0 0.0 2.5e-187 6.5e-105 3.8e-62 1.0e+02 
582295 1382690 300 9.6e-57 0.0 0.0 0.0 0.0 4.4e-192 3.4e-107 4.0e-63 1.0e+02 
583005 1382690 300 2.3e-58 0.0 0.0 0.0 0.0 6.3e-197 1.6e-109 4.0e-64 1.0e+02 
583720 1382690 300 5.0e-60 0.0 0.0 0.0 0.0 7.3e-202 7.0e-112 3.9e-65 1.0e+02 
584440 1382690 300 1.0e-61 0.0 0.0 0.0 0.0 6.7e-207 2.7e-114 3.7e-66 1.0e+02 
585165 1382690 300 1.9e-63 0.0 0.0 0.0 0.0 4.9e-212 9.6e-117 3.3e-67 1.0e+02 
585895 1382690 300 3.4e-65 0.0 0.0 0.0 0.0 2.8e-217 3.1e-119 2.9e-68 1.0e+02 
586630 1382690 300 5.4e-67 0.0 0.0 0.0 0.0 1.3e-222 8.8e-122 2.5e-69 1.0e+02 
587370 1382690 300 8.1e-69 0.0 0.0 0.0 0.0 4.6e-228 2.3e-124 2.1e-70 1.0e+02 
588115 1382690 300 1.1e-70 0.0 0.0 0.0 0.0 1.3e-233 5.3e-127 1.6e-71 1.0e+02 
588865 1382690 300 1.4e-72 0.0 0.0 0.0 0.0 2.9e-239 1.1e-129 1.2e-72 1.0e+02 
589620 1382690 300 1.6e-74 0.0 0.0 0.0 0.0 4.9e-245 2.0e-132 9.1e-74 1.0e+02 
590380 1382690 300 1.8e-76 0.0 0.0 0.0 0.0 0.0 3.4e-135 6.5e-75 1.0e+02 
591145 1382690 300 1.8e-78 0.0 0.0 0.0 0.0 0.0 5.1e-138 4.4e-76 1.0e+02 
591915 1382690 300 1.6e-80 0.0 0.0 0.0 0.0 0.0 6.7e-141 2.9e-77 1.0e+02 
592690 1382690 300 1.3e-82 0.0 0.0 0.0 0.0 0.0 7.9e-144 1.8e-78 1.0e+02 
593470 1382690 300 1.0e-84 0.0 0.0 0.0 0.0 0.0 8.3e-147 1.1e-79 1.0e+02 
594255 1382690 300 7.3e-87 0.0 0.0 0.0 0.0 0.0 7.6e-150 6.3e-81 1.0e+02 
595045 1382690 300 4.7e-89 0.0 0.0 0.0 0.0 0.0 6.3e-153 3.5e-82 1.0e+02 
595840 1382690 300 2.8e-91 0.0 0.0 0.0 0.0 0.0 4.5e-156 1.8e-83 1.0e+02 
596640 1382690 300 1.5e-93 0.0 0.0 0.0 0.0 0.0 2.9e-159 9.3e-85 1.0e+02 
597445 1382690 300 7.5e-96 0.0 0.0 0.0 0.0 0.0 1.6e-162 4.5e-86 1.0e+02 
598255 1382690 300 3.4e-98 0.0 0.0 0.0 0.0 0.0 7.9e-166 2.1e-87 1.0e+02 
